id,start,end,start_min,end_min,duration,code,category,n_players,free_text,spelers,hoofdmomenten,fase,spelhervatting
1,1509.5999999046326,1509.9289887935215,25.159999998410544,25.165483146558692,0.3289888888889436,URBY,Meta,0,test,,,,
2,1775.9968944246662,1804.9970976336665,29.599948240411102,30.08328496056111,29.000203209000347,Player_4,Player,2,,"Player_4, Player_12","V>A, VERDEDIGEN",DEF 2,
3,1776.2965616746665,1792.8966388406661,29.604942694577776,29.881610647344434,16.600077165999664,DEF 2,Phase,2,,"Player_4, Player_12",,DEF 2,
4,1777.697103967,1797.697103967,29.628285066116668,29.96161839945,20.0,Player_12,Player,1,,Player_12,V>A,,
5,1778.395187382333,1792.8966388406661,29.63991978970555,29.881610647344434,14.501451458333122,VERDEDIGEN,Moment,2,,"Player_4, Player_12",VERDEDIGEN,DEF 2,
6,1778.9969818836664,1779.9969818836664,29.649949698061107,29.666616364727773,1.0,START,Meta,0,,,,,
7,1785.8966388406661,1799.8965343003333,29.764943980677767,29.99827557167222,13.999895459667187,V>A,Moment,0,,,V>A,,
8,1795.4970995906667,1817.0969303836664,29.924951659844446,30.28494883972777,21.599830792999683,DEF 2,Phase,3,,"Player_2, Player_5, Player_9",,DEF 2,
9,1796.8966485913331,1819.796841550333,29.948277476522218,30.329947359172216,22.900192958999924,Player_2,Player,5,,"Player_2, Player_5, Player_9, Player_8, Player_13",V>A,,
10,1796.9960202586667,1828.496595299333,29.949933670977778,30.474943254988883,31.500575040666263,Player_5,Player,4,,"Player_5, Player_9, Player_8, Player_13","V>A, A>V",,
11,1797.8965343003333,1817.0969303836664,29.96494223833889,30.28494883972777,19.20039608333309,VERDEDIGEN,Moment,3,,"Player_2, Player_5, Player_9",VERDEDIGEN,DEF 2,
12,1806.7968319249997,1827.192581800333,30.113280532083326,30.453209696672218,20.395749875333422,Player_9,Player,3,,"Player_9, Player_8, Player_13","V>A, A>V",,
13,1807.297014841333,1827.297014841333,30.12161691402222,30.45495024735555,20.0,Player_8,Player,2,,"Player_8, Player_13",A>V,,
14,1808.096619425333,1828.096619425333,30.134943657088886,30.46827699042222,20.0,Player_13,Player,1,,Player_13,A>V,,
15,1810.0969303836664,1820.0987293406668,30.168282173061108,30.334978822344446,10.001798957000346,V>A,Moment,2,,"Player_8, Player_13",V>A,,
16,1813.0987293406668,1829.6970669243333,30.21831215567778,30.494951115405556,16.598337583666535,A>V,Moment,0,,,A>V,,
17,1821.29623855,1841.29623855,30.354937309166665,30.6882706425,20.0,Player_4,Player,2,,"Player_4, Player_14",,,
18,1821.296742592333,1841.296742592333,30.354945709872215,30.68827904320555,20.0,Player_7,Player,3,,"Player_7, Player_4, Player_14",,,
19,1821.397033842,1851.397033842,30.3566172307,30.8566172307,30.0,Player_14,Player,1,,Player_14,AANVALLEN,ATT 1,AJAX | VRIJE TRAP OVERIG
20,1822.6970669243333,1831.6970669243333,30.37828444873889,30.528284448738887,9.0,FORTUNA SITTARD | BUITENSPEL,Other,3,,"Player_7, Player_4, Player_14",,,
21,1829.6970669243333,1849.1972432579996,30.494951115405556,30.819954054299995,19.50017633366633,BOP,Moment,3,,"Player_7, Player_4, Player_14",,,
22,1842.996318674666,1872.996318674666,30.716605311244436,31.216605311244436,30.0,Player_14,Player,6,,"Player_14, Player_12, Player_5, Player_2, Player_12, Player_13",VERDEDIGEN,DEF 3,
23,1845.0954276329999,1883.997019924,30.75159046055,31.399950332066666,38.90159229100004,Player_5,Player,6,,"Player_5, Player_2, Player_12, Player_13, Player_4, Player_7","VERDEDIGEN, V>A",DEF 3,
24,1845.0972057159997,1865.0972057159997,30.751620095266663,31.084953428599995,20.0,Player_12,Player,3,,"Player_12, Player_5, Player_2",VERDEDIGEN,DEF 3,
25,1845.6968163829997,1863.2967815079999,30.761613606383328,31.054946358466665,17.599965125000153,DEF 1,Phase,3,,"Player_14, Player_12, Player_5",VERDEDIGEN,ATT 1,
26,1847.1972432579996,1862.6967305079995,30.78662072096666,31.044945508466657,15.499487249999902,AANVALLEN,Moment,3,,"Player_14, Player_12, Player_5",AANVALLEN,ATT 1,AJAX | VRIJE TRAP OVERIG
27,1847.2945991333331,1859.2945991333331,30.788243318888885,30.988243318888884,12.0,AJAX | VRIJE TRAP OVERIG,Restart,3,,"Player_14, Player_12, Player_5",,ATT 1,AJAX | VRIJE TRAP OVERIG
28,1854.4949067573332,1882.5968324656667,30.908248445955554,31.37661387442778,28.10192570833351,Player_2,Player,5,,"Player_2, Player_12, Player_13, Player_4, Player_7",V>A,,
29,1855.8971304659995,1883.9843707579996,30.93161884109999,31.399739512633328,28.08724029200016,Player_12,Player,4,,"Player_12, Player_13, Player_4, Player_7",V>A,,
30,1858.2967815079999,1878.8970489666667,30.97161302513333,31.31495081611111,20.60026745866685,DEF 3,Phase,4,,"Player_2, Player_12, Player_13, Player_4",,DEF 3,
31,1859.3951498409997,1882.7062799243329,30.989919164016662,31.37843799873888,23.311130083333182,Player_13,Player,3,,"Player_13, Player_4, Player_7",V>A,,
32,1860.6967305079995,1878.8970489666667,31.011612175133326,31.31495081611111,18.200318458667198,VERDEDIGEN,Moment,4,,"Player_2, Player_12, Player_13, Player_4",VERDEDIGEN,DEF 3,
33,1865.4966269253332,1899.8970525496663,31.091610448755553,31.664950875827774,34.40042562433314,Player_4,Player,3,,"Player_4, Player_7, Player_16","V>A, AANVALLEN",ATT 2,
34,1869.3969552580002,1889.3969552580002,31.15661592096667,31.489949254300004,20.0,Player_7,Player,1,,Player_7,AANVALLEN,ATT 2,
35,1871.8970489666667,1886.897089091333,31.198284149444444,31.448284818188885,15.000040124666384,V>A,Moment,1,,Player_7,V>A,,
36,1879.9977706749999,1899.9977706749999,31.333296177916665,31.666629511249997,20.0,Player_16,Player,1,,Player_16,,,
37,1882.6970789253332,1914.6970573413332,31.378284648755553,31.911617622355553,31.999978415999976,ATT 2,Phase,6,,"Player_16, Player_7, Player_3, Player_16, Player_9, Player_8",,ATT 2,
38,1884.897089091333,1914.6970573413332,31.414951484855553,31.911617622355553,29.79996825000012,AANVALLEN,Moment,6,,"Player_16, Player_7, Player_3, Player_16, Player_9, Player_8",AANVALLEN,ATT 2,
39,1892.8970208423334,1914.796752550333,31.548283680705556,31.913279209172217,21.899731707999536,Player_7,Player,5,,"Player_7, Player_3, Player_16, Player_9, Player_8",,,
40,1893.6957643836665,1914.797069633333,31.561596073061107,31.913284493888884,21.10130524966644,Player_3,Player,4,,"Player_3, Player_16, Player_9, Player_8",,,
41,1895.2970147156666,1922.6968201753332,31.588283578594442,32.04494700292222,27.399805459666595,Player_16,Player,3,,"Player_16, Player_9, Player_8",,,
42,1902.8081392999998,1922.8081392999998,31.71346898833333,32.04680232166666,20.0,Player_9,Player,2,,"Player_9, Player_8",,,
43,1903.0970691320001,1923.0970691320001,31.718284485533335,32.05161781886667,20.0,Player_8,Player,1,,Player_8,,,
44,1914.6970573413332,2064.697536368333,31.911617622355553,34.411625606138884,150.00047902699998,BOP,Moment,0,,,,,
45,2134.496890911,2155.496890911,35.57494818185,35.92494818185,21.0,AJAX | DOELPUNT,Shot/Goal,0,,,,,AJAX | DOELPUNT
46,2134.496890911,2159.496890911,35.57494818185,35.99161484851666,25.0,SUMMARY,Meta,0,,,,,AJAX | DOELPUNT
47,2138.9966187023324,2154.496890911,35.649943645038874,35.90828151518333,15.500272208667411,AANVALLEN,Moment,2,,"Player_5, Player_3",AANVALLEN,,AJAX | VRIJE TRAP GEVAARLIJK
48,2139.6969899943333,2151.6969899943333,35.661616499905556,35.86161649990556,12.0,AJAX | VRIJE TRAP GEVAARLIJK,Restart,2,,"Player_5, Player_3",,,AJAX | VRIJE TRAP GEVAARLIJK
49,2139.7967262023326,2159.7967262023326,35.66327877003888,35.99661210337221,20.0,Player_5,Player,2,,"Player_5, Player_3",,,
50,2141.6970227849997,2161.6970227849997,35.69495037975,36.028283713083326,20.0,Player_3,Player,1,,Player_3,,,
51,2154.496890911,2221.597009199,35.90828151518333,37.02661681998333,67.10011828799998,BOP,Moment,0,,,,,AJAX | DOELPUNT
52,2217.2971189053333,2234.100048531,36.954951981755556,37.23500080885,16.80292962566682,DEF 2,Phase,1,,Player_4,,DEF 2,
53,2219.597009199,2234.100048531,36.99328348664999,37.23500080885,14.503039332000299,VERDEDIGEN,Moment,1,,Player_4,VERDEDIGEN,DEF 2,
54,2220.097089447999,2243.696780947333,37.00161815746665,37.394946349122215,23.599691499333858,Player_4,Player,4,,"Player_4, Player_3, Player_8, Player_5","V>A, VERDEDIGEN",DEF 2,
55,2224.2971629060003,2244.2971629060003,37.07161938176667,37.4049527151,20.0,Player_3,Player,3,,"Player_3, Player_8, Player_5",VERDEDIGEN,DEF 2,
56,2225.096909240333,2245.096909240333,37.084948487338885,37.41828182067221,20.0,Player_8,Player,2,,"Player_8, Player_5",VERDEDIGEN,DEF 2,
57,2226.3972024473333,2246.3972024473333,37.10662004078889,37.43995337412222,20.0,Player_5,Player,1,,Player_5,VERDEDIGEN,DEF 2,
58,2227.100048531,2237.3965014886667,37.118334142183336,37.28994169147778,10.296452957666588,V>A,Moment,3,,"Player_3, Player_8, Player_5",V>A,,
59,2232.997039364,2260.795906156666,37.216617322733335,37.67993176927777,27.798866792666104,DEF 2,Phase,2,,"Player_3, Player_4",,DEF 2,
60,2235.3965014886667,2260.795906156666,37.25660835814445,37.67993176927777,25.399404667999534,VERDEDIGEN,Moment,2,,"Player_3, Player_4",VERDEDIGEN,DEF 2,
61,2239.4275374782924,2262.554844349077,37.323792291304876,37.70924740581795,23.12730687078465,RUST verdedigen,Other,0,,,,,
62,2248.597100782,2268.597100782,37.476618346366664,37.8099516797,20.0,Player_3,Player,4,,"Player_3, Player_4, Player_13, Player_2","V>A, A>V",,
63,2248.7969906559997,2281.5025435313337,37.47994984426666,38.025042392188894,32.70555287533398,Player_4,Player,8,,"Player_4, Player_13, Player_2, Player_5, Player_11, Player_16, Player_7, Player_12","V>A, A>V, V>A, AANVALLEN",ATT 2,
64,2251.695830281667,2284.9969782813328,37.52826383802778,38.083282971355544,33.30114799966577,Player_13,Player,8,,"Player_13, Player_2, Player_5, Player_11, Player_16, Player_7, Player_12, Player_4","A>V, V>A, AANVALLEN",ATT 2,
65,2253.795906156666,2267.4970912396666,37.563265102611105,37.79161818732778,13.701185083000382,V>A,Moment,2,,"Player_13, Player_2",V>A,,
66,2254.196843406666,2283.097132365,37.5699473901111,38.051618872750005,28.90028895833393,Player_2,Player,7,,"Player_2, Player_5, Player_11, Player_16, Player_7, Player_12, Player_4","A>V, V>A, AANVALLEN",ATT 2,
67,2260.496106406333,2280.496106406333,37.67493510677222,38.00826844010555,20.0,Player_5,Player,5,,"Player_5, Player_11, Player_16, Player_7, Player_12","V>A, AANVALLEN",,
68,2260.4970912396666,2274.496720531666,37.67495152066111,37.90827867552777,13.999629291999554,A>V,Moment,3,,"Player_5, Player_11, Player_16",A>V,,
69,2260.796518281,2280.796518281,37.67994197135,38.01327530468333,20.0,Player_11,Player,4,,"Player_11, Player_16, Player_7, Player_12","V>A, AANVALLEN",ATT 2,
70,2261.3970383650003,2281.3970383650003,37.68995063941667,38.02328397275001,20.0,Player_16,Player,3,,"Player_16, Player_7, Player_12","V>A, AANVALLEN",ATT 2,
71,2265.2969631563333,2293.2875474900006,37.754949385938886,38.221459124833345,27.990584333667357,Player_7,Player,5,,"Player_7, Player_12, Player_4, Player_12, Player_5",AANVALLEN,ATT 2,
72,2267.496720531666,2279.7970881983338,37.7916120088611,37.996618136638894,12.300367666667626,V>A,Moment,2,,"Player_7, Player_12",V>A,,
73,2267.9969049896667,2287.9969049896667,37.799948416494445,38.13328174982778,20.0,Player_12,Player,2,,"Player_12, Player_4",AANVALLEN,ATT 2,
74,2272.097154281333,2293.3970581979997,37.86828590468888,38.2232843033,21.299903916666608,Player_4,Player,3,,"Player_4, Player_12, Player_5",,,
75,2275.796564031,2301.4962105729996,37.92994273385,38.358270176216664,25.699646541999755,ATT 2,Phase,5,,"Player_4, Player_12, Player_5, Player_11, Player_7",,ATT 2,
76,2277.7970881983338,2301.4962105729996,37.96328480330556,38.358270176216664,23.699122374665876,AANVALLEN,Moment,5,,"Player_4, Player_12, Player_5, Player_11, Player_7",AANVALLEN,ATT 2,
77,2279.596797781333,2304.596797781333,37.99327996302222,38.40994662968888,25.0,SUMMARY,Meta,2,,"Player_11, Player_7",A>V,,
78,2279.596797781333,2304.596797781333,37.99327996302222,38.40994662968888,25.0,AJAX | SCHOT,Shot/Goal,2,,"Player_11, Player_7",,,
79,2282.2963392809997,2311.296874781666,38.03827232134999,38.52161457969443,29.000535500666047,Player_12,Player,7,,"Player_12, Player_5, Player_11, Player_7, Player_3, Player_4, Player_16",A>V,,
80,2282.496798532,2302.496798532,38.041613308866665,38.3749466422,20.0,Player_5,Player,3,,"Player_5, Player_11, Player_7",A>V,,
81,2290.196782407,2310.196782407,38.169946373449996,38.50327970678333,20.0,Player_11,Player,5,,"Player_11, Player_7, Player_3, Player_4, Player_16",A>V,,
82,2290.4971135313326,2314.686286448,38.17495189218888,38.57810477413333,24.189172916667303,Player_7,Player,4,,"Player_7, Player_3, Player_4, Player_16",A>V,,
83,2294.4962105729996,2316.295511114666,38.241603509549996,38.60492518524443,21.799300541666526,A>V,Moment,5,,"Player_3, Player_4, Player_16, Player_11, Player_13",A>V,,
84,2295.1967803649995,2315.1967803649995,38.25327967274999,38.586613006083326,20.0,Player_3,Player,3,,"Player_3, Player_4, Player_16",,,
85,2295.496787155333,2318.596548946999,38.25827978592222,38.64327581578332,23.09976179166597,Player_4,Player,5,,"Player_4, Player_16, Player_11, Player_13, Player_8",V>A,,
86,2295.827598156605,2318.605911015744,38.26379330261008,38.643431850262395,22.778312859139078,RUST A naar V,Other,0,,,,,
87,2296.0968774893336,2316.0968774893336,38.26828129148889,38.601614624822226,20.0,Player_16,Player,3,,"Player_16, Player_11, Player_13",,,
88,2305.2950369903333,2335.0969334896668,38.42158394983889,38.91828222482778,29.801896499333452,Player_11,Player,5,,"Player_11, Player_13, Player_8, Player_16, Player_4","V>A, AANVALLEN",ATT 2,
89,2305.9969163656665,2335.6970876156665,38.43328193942777,38.92828479359444,29.70017125000004,Player_13,Player,4,,"Player_13, Player_8, Player_16, Player_4","V>A, AANVALLEN",ATT 2,
90,2308.297232490333,2334.797036240667,38.47162054150555,38.913283937344445,26.49980375033374,Player_8,Player,3,,"Player_8, Player_16, Player_4",AANVALLEN,ATT 2,
91,2309.295511114666,2323.597138198,38.48825851857777,38.726618969966665,14.301627083333642,V>A,Moment,1,,Player_8,V>A,,
